ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														364	13:48:06.893	123569093																3		Fixation	100			2.70	330.32	199.99	44	962	533	971	524	966	528			257.15	178.79	259.48	181.67	258.31	180.23	211.34	52.10	552.73	276.70	47.69	552.23					554.04	554.04	3.32	3.16	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														372	13:48:06.901	123577422																3		Fixation	100			2.70	330.32	199.99	45	962	528	975	517	968	522			257.13	180.57	260.61	184.16	258.87	182.36	211.41	52.13	552.69	276.72	47.71	552.18					554.00	554.00	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														380	13:48:06.910	123585764																3		Fixation	100			2.70	330.32	199.99	46	942	509	965	513	953	511			251.78	186.65	257.86	185.21	254.82	185.93	211.37	52.18	552.74	276.69	47.72	552.23					554.06	554.06	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														389	13:48:06.918	123594098																3		Fixation	100			2.70	330.32	199.99	47	942	509	965	514	953	511			251.71	186.64	257.78	184.96	254.75	185.80	211.40	52.23	552.85	276.74	47.75	552.29					554.17	554.17	3.24	3.16	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														397	13:48:06.926	123602425																3		Fixation	100			2.70	330.32	199.99	48	961	510	963	517	962	513			256.88	186.48	257.22	184.04	257.05	185.26	211.45	52.17	552.87	276.76	47.72	552.22					554.18	554.18	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														405	13:48:06.935	123610761																3		Fixation	100			2.70	330.32	199.99	49	972	517	955	515	963	516			259.65	183.93	255.25	184.78	257.45	184.36	211.41	52.14	552.97	276.72	47.66	552.25					554.28	554.28	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														414	13:48:06.943	123619104																3		Fixation	100			2.70	330.32	199.99	50	969	511	954	512	961	511			259.01	185.86	254.97	185.74	256.99	185.80	211.42	52.12	553.12	276.77	47.63	552.27					554.43	554.43	3.17	3.12	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														422	13:48:06.951	123627427																3		Fixation	100			2.70	330.32	199.99	51	960	513	955	500	957	506			256.61	185.33	255.21	189.64	255.91	187.48	211.47	52.07	553.17	276.79	47.59	552.17					554.46	554.46	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														430	13:48:06.960	123635761																3		Fixation	100			2.70	330.32	199.99	52	957	516	953	532	955	524			255.75	184.32	254.71	179.25	255.23	181.78	211.42	52.08	553.28	276.76	47.57	552.17					554.58	554.58	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														439	13:48:06.968	123644094																3		Fixation	100			2.70	330.32	199.99	53	959	525	956	523	957	524			256.40	181.57	255.57	182.03	255.99	181.80	211.46	52.13	553.44	276.79	47.58	552.18					554.74	554.74	3.18	3.08	0	0				
